Pclass,Sex,Age,SibSp,Parch,Fare
1,Female,44.0,0,0,27.7208
3,Male,32.0,0,0,7.925
3,Female,31.0,0,0,8.6833
3,Male,26.0,0,31,7.8875
3,Male,32.0,0,0,7.925
1,Male,40.0,0,0,27.7208
2,Male,59.0,0,0,13.5
3,Female,15.0,0,0,7.225
1,Female,39.0,1,1,79.65
3,Male,6.0,0,1,12.475
2,Female,24.0,2,3,18.75
2,Male,30.0,0,0,10.5
1,Female,36.0,1,2,120.0
2,Male,1.0,2,1,39.0
1,Male,80.0,0,0,30.0
2,Female,22.0,1,2,41.5792
3,Male,18.0,0,0,7.75
1,Female,138.0,0,1,39.4
2,Female,18.0,0,1,23.0
1,Female,56.0,0,1,83.1583
2,Female,5.0,1,2,27.75
1,Female,133.0,1,1,52.5542
1,Male,45.0,0,0,26.55
3,Male,48.0,0,0,7.8542
3,Male,,0,0,7.2292
2,Female,36.0,0,0,13.0
3,Male,45.0,0,0,8.05
3,Male,32.0,0,0,7.8542
3,Female,4.0,0,2,22.025
3,Male,30.5,0,0,8.05
2,Male,23.0,0,0,13.0
3,Male,31.0,0,0,7.775
1,Male,21.0,0,1,77.2875
2,Male,36.5,0,2,26.0
3,Male,22.0,0,0,8.05
1,Female,,0,0,79.2
2,Male,54.0,0,0,26.0
3,Male,,0,0,7.75
1,Female,51.0,1,0,77.9583
3,Male,29.0,0,0,7.775
3,Female,5.0,2,1,19.2583
3,Female,,0,0,7.7375
2,Male,23.0,0,0,13.0
2,Female,33.0,1,2,27.75
3,Female,24.0,0,0,8.85
3,Female,23.0,0,0,7.925
3,Male,,0,0,15.5
1,Male,60.0,1,23,79.2
2,Male,39.0,0,0,26.0
1,Male,45.0,0,0,26.55
3,Male,32.0,0,0,7.75
3,Male,,0,0,7.8958
3,Female,26.0,0,0,7.8542
1,Female,29.0,0,20,211.3375
1,Male,,0,0,227.525
3,Male,121.0,0,0,7.7958
1,Male,27.0,0,0,76.7292
1,Male,35.0,0,0,26.2875
3,Male,11.0,5,2,46.9
1,Male,,0,0,221.7792
2,Female,28.0,0,0,13.0
2,Female,24.0,1,2,65.0
1,Male,17.0,0,2,110.8833
3,Male,29.0,0,0,9.5
3,Male,34.5,0,32,6.4375
3,Male,1.0,4,1,39.6875
3,Male,42.0,0,1,8.4042
2,Male,33.0,0,0,12.275
1,Male,64.0,1,4,263.0
2,Male,44.0,1,0,26.0
3,Female,22.0,0,0,7.75
3,Male,20.5,0,30,7.25
2,Male,27.0,0,0,13.0
3,Male,25.0,0,0,7.65
3,Female,18.0,0,1,9.35
2,Female,18.0,0,2,3940.720879815081
3,Female,30.0,0,0,8.6625
1,Male,29.0,0,0,30.0
3,Male,26.0,1,2,20.575
3,Male,,0,0,7.8958
1,Female,42.0,0,0,227.525
3,Male,,0,23,7.225
3,Female,,0,0,7.225
3,Female,23.0,0,0,7.55
1,Male,23.0,0,1,63.3583
1,Female,,0,1,55.0
3,Male,,0,0,7.725
3,Male,28.0,0,0,7.7958
1,Female,52.0,1,1,93.5
3,Male,4.0,3,2,27.9
2,Female,24.0,2,1,27.0
3,Male,25.0,1,0,17.8
2,Female,21.0,0,0,10.5
3,Male,38.0,0,0,7.05
3,Female,15.0,1,0,14.4542
1,Female,,1,27,89.1042
3,Male,2.0,4,1,39.6875
3,Male,28.5,0,0,16.1
1,Female,41.0,0,0,134.5
3,Female,37.0,0,0,9.5875
1,Female,38.0,0,35,227.525
3,Male,27.0,0,0,6.975
2,Female,24.0,0,0,13.0
2,Female,40.0,1,1,39.0
1,Female,23.0,3,2,263.0
1,Female,48.0,1,32,39.6
3,Female,9.0,1,1,15.2458
1,Male,51.0,0,1,61.3792
2,Female,128.0,0,0,13.0
2,Male,62.0,0,0,10.5
1,Male,,0,0,30.6958
2,Female,50.0,0,0,10.5
3,Male,29.0,0,0,8.05
2,Male,31.0,0,0,13.0
2,Female,32.5,0,0,13.0
2,Female,24.0,0,2,14.5
3,Female,18.0,0,1,14.4542
2,Female,28.0,0,0,12.65
3,Female,,0,0,7.75
3,Male,,0,0,7.8292
3,Male,,0,0,7.75
1,Female,17.0,1,0,108.9
1,Male,52.0,0,0,30.5
1,Female,49.0,1,0,76.7292
2,Female,55.0,0,0,16.0
1,Male,28.0,0,0,35.5
1,Female,35.0,0,0,135.6333
3,Male,,0,0,9.5
3,Male,25.0,0,0,0.0
3,Female,13.0,0,0,7.2292
3,Male,26.0,1,0,7.8542
2,Male,19.0,0,39,13.0
3,Male,28.0,0,0,22.525
2,Female,17.0,0,0,10.5
2,Male,34.0,0,22,3691.1058428964648
3,Male,123.0,0,0,3853.1962796255025
1,Female,23.0,1,0,113.275
3,Male,,2,0,21.6792
2,Female,3.0,1,2,41.5792
3,Female,5.0,0,0,12.475
3,Male,,8,2,69.55
1,Male,62.0,0,0,26.55
2,Male,3.0,1,1,18.75
3,Male,36.0,0,0,0.0
3,Male,127.0,0,0,7.225
1,Male,4.0,0,2,81.8583
2,Male,21.0,1,0,11.5
2,Female,,0,0,33.0
3,Male,,0,0,56.4958
2,Female,7.0,0,2,26.25
3,Male,17.0,1,1,7.2292
1,Female,31.0,1,0,113.275
2,Female,40.0,0,0,15.75
3,Male,40.0,1,1,15.5
3,Female,31.0,1,1,20.525
1,Female,35.0,0,0,512.3292
1,Male,49.0,1,0,89.1042
1,Female,35.0,1,0,52.0
3,Male,18.0,0,0,8.05
3,Male,14.0,5,2,46.9
3,Female,3.0,3,1,3786.043944306822
3,Female,,1,0,3755.35382992124
1,Male,,0,0,30.0
3,Female,,3,1,25.4667
3,Male,32.0,0,0,3871.4416748535587
2,Male,0.67,1,1,14.5
3,Male,22.0,0,0,7.7958
3,Female,24.0,0,2,16.7
3,Male,,0,0,8.05
3,Female,139.0,1,1,22.3583
3,Female,,1,2,23.45
2,Male,52.0,0,0,13.0
3,Female,21.0,1,0,9.825
3,Male,25.0,0,0,7.7417
3,Male,31.0,0,0,7.925
3,Female,24.0,1,0,15.85
2,Female,24.0,0,0,13.0
3,Male,9.0,0,2,3570.589410889557
2,Female,27.0,1,0,13.8583
3,Male,22.0,0,0,7.25
2,Male,34.0,1,0,21.0
1,Male,,0,0,26.55
3,Female,,1,0,16.1
1,Male,26.0,0,0,30.0
1,Male,,0,28,42.4
3,Male,,0,0,3684.3443414670314
2,Male,30.0,0,0,13.0
3,Male,,0,0,8.05
3,Male,17.0,0,0,3542.122668511436
2,Female,50.0,0,0,10.5
3,Female,4.0,0,1,13.4167
1,Female,,1,0,52.0
2,Female,6.0,0,1,33.0
3,Male,33.0,0,0,9.5
3,Female,1.0,1,1,11.1333
3,Female,24.0,0,3,19.2583
1,Male,36.0,0,0,26.2875
3,Male,42.0,0,0,7.65
1,Male,24.0,0,1,247.5208
1,Female,32.0,0,0,76.2917
2,Male,23.0,2,1,11.5
1,Male,35.0,0,0,512.3292
2,Female,34.0,0,0,13.0
3,Male,25.0,0,0,7.8958
1,Female,39.0,1,1,83.1583
3,Male,27.0,0,0,8.6625
1,Female,43.0,0,1,211.3375
3,Male,122.0,1,0,19.9667
3,Male,18.0,1,1,20.2125
3,Female,11.0,4,2,31.275
2,Male,42.0,0,0,13.0
1,Male,45.0,1,0,83.475
1,Male,,0,0,30.5
1,Male,65.0,0,0,26.55
1,Male,0.92,1,2,151.55
3,Female,39.0,1,5,31.275
1,Male,38.0,1,0,90.0
3,Female,16.0,5,2,46.9
2,Female,42.0,1,0,26.0
2,Female,28.0,1,0,24.0
3,Male,20.0,0,35,7.05
3,Female,22.0,0,0,7.75
3,Male,24.0,0,0,7.8958
3,Female,22.0,0,0,7.775
3,Female,26.0,0,0,3730.6965880558846
3,Male,25.0,1,0,7.775
1,Female,52.0,1,0,78.2667
1,Male,40.0,0,0,0.0
2,Female,42.0,0,0,13.0
3,Male,28.0,0,0,7.8958
3,Male,120.0,0,0,3601.9016356159223
3,Male,,0,0,56.4958
3,Female,,3,1,25.4667
2,Female,30.0,0,0,13.0
1,Female,54.0,1,0,78.2667
2,Male,,0,0,0.0
3,Male,25.0,0,0,7.05
3,Male,16.0,2,0,18.0
2,Male,32.0,0,0,10.5
1,Female,16.0,0,1,57.9792
1,Female,58.0,0,0,146.5208
2,Male,25.0,1,0,26.0
2,Male,3.0,1,20,26.0
3,Male,,0,0,7.8958
3,Male,,1,0,19.9667
3,Male,34.0,0,0,8.05
3,Male,44.0,0,0,8.05
3,Male,,0,0,7.25
2,Female,30.0,0,0,12.35
3,Male,39.0,0,0,24.15
1,Male,,0,38,26.0
3,Male,,0,0,7.8958
3,Female,,0,0,7.8792
3,Male,50.0,0,0,8.05
3,Female,136.0,0,0,6.75
1,Male,31.0,0,0,50.4958
1,Female,,1,0,146.5208
1,Female,19.0,0,0,30.0
1,Female,26.0,0,0,78.85
3,Male,126.0,5,2,46.9
2,Female,22.0,1,1,3859.9197663604564
1,Female,,1,0,82.1708
3,Female,1.0,0,2,3783.444350393007
3,Male,24.0,2,0,24.15
3,Male,,0,0,56.4958
1,Female,16.0,0,39,86.5
1,Female,36.0,0,2,71.0
3,Male,27.0,0,0,7.8958
3,Male,20.0,0,0,8.05
3,Female,,0,0,7.75
3,Male,20.0,1,0,7.925
1,Female,60.0,1,0,75.25
3,Female,2.0,3,2,27.9
1,Male,42.0,1,0,52.5542
1,Male,33.0,0,0,5.0
3,Male,,0,0,8.05
3,Female,36.0,1,0,17.4
3,Male,20.0,0,0,7.925
3,Female,16.0,0,0,7.7333
1,Female,33.0,1,0,53.1
3,Female,132.0,1,3,34.375
3,Male,3.0,4,2,31.3875
1,Female,30.0,0,0,106.425
2,Male,1.0,0,2,37.0042
1,Male,38.0,0,0,0.0
3,Female,8.0,3,1,21.075
3,Male,47.0,0,0,7.25
2,Female,50.0,0,1,26.0
2,Female,40.0,0,0,13.0
2,Female,54.0,1,3,23.0
1,Male,25.0,1,24,55.4417
3,Male,126.0,0,0,7.2292
3,Female,45.0,0,1,14.4542
3,Male,129.0,0,0,7.2292
3,Female,,0,2,22.3583
1,Male,44.0,2,0,90.0
1,Female,,1,0,51.8625
3,Male,130.0,0,0,9.8458
3,Male,,8,2,69.55
3,Female,21.0,0,0,7.65
2,Female,26.0,1,1,26.0
2,Female,,0,0,12.35
3,Female,,1,0,14.4542
3,Male,19.0,0,0,7.8958
2,Male,19.0,0,0,10.5
1,Female,24.0,0,0,83.1583
1,Male,32.0,0,0,30.5
3,Male,28.0,0,0,7.8542
3,Male,,0,0,7.3125
3,Female,,0,0,7.8792
1,Male,19.0,1,0,53.1
1,Female,54.0,1,0,59.4
2,Female,45.0,1,1,26.25
3,Male,19.0,0,0,14.5
3,Male,,0,0,14.5
2,Male,42.0,1,0,27.0
3,Male,22.0,0,0,7.2292
3,Female,63.0,0,0,9.5875
2,Female,45.0,0,0,13.5
3,Female,17.0,4,2,7.925
3,Male,22.0,0,0,8.05
3,Male,,0,0,6.8583
2,Male,28.0,0,0,3678.5478181966587
1,Male,11.0,1,2,120.0
3,Female,,0,0,7.7875
3,Male,21.0,0,0,7.25
2,Male,35.0,0,0,10.5
1,Female,63.0,1,0,77.9583
3,Male,24.0,0,0,3813.875024650495
3,Female,20.0,0,0,8.6625
1,Male,,0,0,29.7
1,Male,60.0,0,0,26.55
1,Male,124.0,1,0,52.0
3,Female,,1,0,24.15
3,Male,,0,0,8.7125
3,Male,,0,0,3776.7875051116876
1,Female,,0,0,110.8833
2,Male,42.0,0,0,13.0
3,Male,,0,0,7.8958
3,Male,14.0,4,1,39.6875
3,Female,27.0,0,1,12.475
2,Female,19.0,0,0,26.0
3,Female,32.0,1,1,15.5
1,Male,71.0,0,0,34.6542
3,Male,33.0,0,0,8.6542
3,Female,33.0,3,20,15.85
3,Female,9.0,4,2,31.275
1,Male,48.0,1,0,52.0
1,Male,40.0,0,0,31.0
1,Male,42.0,1,0,52.0
3,Female,,0,0,7.8292
3,Male,16.0,1,1,20.25
2,Female,44.0,1,0,26.0
3,Female,,0,0,8.05
2,Female,35.0,0,0,21.0
3,Male,,0,0,7.225
3,Male,15.0,1,1,7.2292
2,Male,31.0,1,1,26.25
1,Male,56.0,0,0,26.55
2,Male,37.0,1,0,26.0
1,Female,49.0,0,0,25.9292
1,Female,58.0,0,1,153.4625
1,Male,25.0,1,0,91.0792
3,Male,26.0,1,0,14.4542
2,Female,24.0,1,0,26.0
1,Male,47.0,0,0,25.5875
3,Male,24.0,0,0,7.7958
3,Male,19.0,0,0,7.8958
3,Male,27.0,1,0,14.4542
2,Male,,0,0,13.0
3,Male,11.0,0,0,18.7875
3,Male,24.0,0,0,7.4958
3,Male,8.0,4,1,29.125
1,Female,22.0,0,1,55.0
3,Male,43.0,0,0,6.45
1,Female,58.0,0,0,26.55
1,Male,56.0,0,0,35.5
1,Female,30.0,0,0,56.9292
1,Female,14.0,1,2,120.0
1,Female,39.0,1,1,110.8833
3,Male,35.0,0,0,7.05
3,Male,26.0,0,0,7.8958
1,Female,137.0,1,24,164.8667
3,Male,129.0,1,1,15.2458
3,Male,12.0,1,0,11.2417
1,Male,,0,0,3698.7380684126574
1,Male,34.0,0,0,26.55
1,Male,58.0,0,2,113.275
2,Male,46.0,0,0,26.0
2,Male,32.0,1,0,26.0
3,Male,,0,0,7.7292
3,Male,,0,0,7.8958
3,Male,,0,0,3636.836677283597
3,Male,42.0,0,0,8.6625
3,Male,44.0,0,0,7.925
3,Female,21.0,0,0,7.75
3,Male,25.0,1,0,7.775
1,Female,21.0,2,2,262.375
3,Female,,1,0,16.1
3,Male,29.0,0,0,7.75
3,Male,4.0,1,1,11.1333
3,Male,28.0,0,0,7.8958
3,Male,36.0,1,0,15.55
3,Male,16.0,0,0,8.05
1,Female,22.0,0,0,151.55
3,Male,16.0,0,0,9.2167
3,Female,22.0,0,0,7.25
2,Female,29.0,1,0,26.0
2,Female,23.0,0,0,13.7917
1,Female,48.0,0,0,25.9292
3,Male,,0,0,7.2292
3,Male,,0,0,7.8958
2,Male,27.0,0,0,26.0
3,Female,,0,0,7.75
1,Male,58.0,0,21,29.7
1,Male,50.0,1,0,55.9
2,Female,41.0,0,1,19.5
3,Male,41.0,2,0,14.1083
3,Male,20.0,0,0,7.8542
3,Female,31.0,1,0,18.0
1,Female,19.0,1,0,3507.7604358196204
3,Male,42.0,0,0,7.55
1,Female,24.0,0,0,69.3
3,Female,,1,0,15.5
3,Male,20.0,0,0,8.6625
3,Female,,0,0,7.75
3,Male,26.0,2,0,8.6625
3,Male,26.0,0,0,7.775
2,Female,4.0,1,1,23.0
1,Male,22.0,0,0,135.6333
3,Male,33.0,1,1,20.525
3,Male,30.0,0,0,7.25
3,Female,,0,0,7.75
3,Female,,2,0,23.25
3,Male,26.0,0,0,8.05
1,Male,,0,0,25.925
3,Female,,0,0,8.05
3,Male,22.0,0,0,7.25
3,Male,30.0,0,0,9.5
3,Male,17.0,0,0,8.6625
3,Male,36.0,0,0,7.4958
3,Male,21.0,0,0,8.05
1,Male,35.0,0,0,26.55
1,Female,38.0,1,0,71.2833
3,Female,,0,0,7.8792
1,Male,54.0,0,0,51.8625
3,Male,30.0,0,0,7.8958
2,Female,31.0,1,1,26.25
3,Male,26.0,0,0,56.4958
3,Male,28.0,0,0,9.5
1,Male,50.0,2,0,133.65
3,Male,40.5,0,0,7.75
3,Female,20.0,1,0,9.825
3,Female,40.0,1,0,9.475
3,Female,35.0,1,1,20.25
1,Male,36.0,1,2,120.0
3,Male,,0,0,7.25
3,Male,22.0,0,0,7.8958
3,Male,35.0,0,0,7.125
1,Female,40.0,1,1,134.5
3,Female,45.0,1,4,27.9
3,Male,28.0,2,0,7.925
3,Male,32.0,0,0,8.05
2,Female,127.0,0,1,19.5
2,Male,27.0,0,0,13.0
3,Male,45.5,0,0,7.225
3,Male,22.0,0,0,9.0
1,Female,35.0,1,0,90.0
3,Male,21.0,0,0,8.05
1,Male,138.0,0,0,26.3875
1,Male,45.0,0,0,35.5
1,Female,17.0,1,0,57.0
3,Female,9.0,3,2,27.9
3,Male,19.0,0,0,0.0
1,Female,21.0,0,0,77.9583
3,Male,20.0,1,1,3529.1717709765253
3,Female,29.0,1,1,10.4625
3,Male,19.0,0,0,8.05
